Brightness, Gamma, Denoising Value, Contrast, Predicted Brightness, Predicted Gamma, Predicted Denoising Value, Predicted Contrast
59.40, 0.72, 13.40, 37.50, 93.00, 0.54, 8.70, 70.00
46.20, 0.67, 11.40, 30.00, 81.50, 0.50, 7.40, 59.50
48.30, 0.69, 12.30, 31.70, 83.80, 0.51, 7.80, 61.50
55.10, 0.75, 13.00, 35.00, 90.50, 0.55, 8.30, 67.00
49.10, 0.70, 11.90, 31.90, 85.00, 0.52, 7.70, 62.30
52.70, 0.71, 12.70, 33.10, 88.00, 0.53, 8.10, 64.50
57.30, 0.76, 13.50, 36.50, 92.20, 0.56, 8.60, 69.50
51.30, 0.69, 11.80, 32.50, 86.00, 0.51, 7.60, 63.50
45.80, 0.66, 12.20, 29.80, 80.50, 0.49, 7.50, 58.20
53.20, 0.73, 12.60, 33.60, 88.50, 0.54, 8.00, 66.00
47.80, 0.68, 11.60, 30.70, 82.00, 0.50, 7.60, 60.00
54.80, 0.74, 12.90, 34.50, 89.50, 0.55, 8.20, 68.00
50.10, 0.70, 11.70, 32.00, 84.50, 0.51, 7.50, 62.00
48.70, 0.67, 11.50, 30.90, 82.50, 0.50, 7.50, 60.50
55.50, 0.74, 13.10, 35.20, 91.00, 0.55, 8.30, 67.50
52.30, 0.72, 12.40, 32.80, 87.50, 0.53, 8.00, 65.50
58.10, 0.75, 13.40, 36.20, 92.50, 0.56, 8.70, 69.80
50.80, 0.69, 11.90, 31.80, 85.50, 0.52, 7.70, 63.00
46.90, 0.67, 12.00, 30.30, 81.00, 0.49, 7.60, 60.50
53.70, 0.73, 12.80, 34.00, 89.00, 0.54, 8.10, 66.50
49.20, 0.68, 11.70, 31.20, 84.00, 0.51, 7.60, 62.00
56.30, 0.75, 13.20, 35.50, 91.50, 0.56, 8.40, 68.50
52.60, 0.72, 12.50, 33.00, 88.00, 0.54, 8.10, 66.50
48.80, 0.68, 11.60, 31.00, 83.50, 0.51, 7.50, 61.50
55.20, 0.74, 12.90, 34.50, 90.00, 0.55, 8.20, 68.00
51.90, 0.71, 12.20, 32.50, 87.00, 0.53, 8.00, 65.00
47.50, 0.67, 11.40, 30.50, 82.00, 0.50, 7.50, 60.00
54.60, 0.74, 13.00, 34.70, 90.50, 0.55, 8.20, 68.50
50.70, 0.70, 11.80, 31.60, 85.00, 0.52, 7.70, 62.50
46.80, 0.67, 11.90, 30.30, 81.50, 0.49, 7.60, 60.50
53.80, 0.73, 12.70, 34.00, 89.00, 0.55, 8.30, 67.50
49.70, 0.69, 11.80, 31.50, 84.50, 0.51, 7.60, 62.50
45.90, 0.66, 11.30, 29.90, 81.00, 0.49, 7.40, 59.50
52.20, 0.71, 12.10, 32.20, 86.50, 0.53, 8.00, 64.50
57.50, 0.76, 13.50, 36.00, 93.00, 0.57, 8.50, 70.50
48.50, 0.68, 11.50, 30.80, 83.00, 0.50, 7.50, 61.00
55.80, 0.75, 13.20, 35.20, 91.00, 0.56, 8.30, 68.00
50.90, 0.70, 12.00, 32.00, 85.50, 0.52, 7.70, 63.00
46.50, 0.67, 11.70, 30.00, 81.00, 0.49, 7.40, 60.00
54.20, 0.73, 12.80, 34.30, 89.50, 0.55, 8.30, 67.50
48.20, 0.68, 11.70, 31.00, 83.50, 0.51, 7.60, 61.50
56.30, 0.75, 13.10, 35.30, 91.00, 0.56, 8.40, 68.00
51.60, 0.71, 12.10, 32.40, 86.50, 0.53, 8.00, 64.50
47.80, 0.67, 11.60, 30.70, 82.50, 0.50, 7.50, 61.50
55.00, 0.74, 12.90, 34.40, 90.00, 0.55, 8.20, 68.00
50.10, 0.69, 11.90, 31.80, 85.50, 0.52, 7.70, 63.00
46.20, 0.66, 11.40, 29.70, 80.50, 0.49, 7.40, 59.50
53.40, 0.72, 12.50, 33.50, 88.50, 0.54, 8.20, 66.50
49.20, 0.68, 11.80, 31.40, 84.00, 0.51, 7.60, 62.50
57.20, 0.76, 13.40, 35.80, 93.50, 0.57, 8.60, 71.00
61.20, 0.78, 14.20, 38.60, 95.50, 0.58, 8.90, 74.00
63.50, 0.80, 15.10, 40.20, 98.00, 0.60, 9.20, 77.50
65.80, 0.82, 15.80, 41.80, 101.00, 0.61, 9.50, 80.50
68.00, 0.84, 16.50, 43.50, 104.00, 0.63, 9.80, 83.50
70.20, 0.86, 17.20, 45.20, 107.00, 0.64, 10.10, 86.50
72.40, 0.88, 18.00, 47.00, 110.00, 0.66, 10.40, 89.50
74.60, 0.90, 18.70, 48.70, 113.00, 0.68, 10.70, 92.50
76.80, 0.92, 19.40, 50.40, 116.00, 0.70, 11.00, 95.50
79.00, 0.94, 20.10, 52.10, 119.00, 0.71, 11.30, 98.50
81.20, 0.96, 20.80, 53.80, 122.00, 0.73, 11.60, 101.50
64.50, 0.81, 15.20, 40.50, 98.50, 0.59, 9.30, 77.50
66.80, 0.83, 15.90, 42.10, 101.50, 0.61, 9.60, 80.50
69.00, 0.85, 16.60, 43.80, 104.50, 0.63, 9.90, 83.50
71.20, 0.87, 17.30, 45.50, 107.50, 0.64, 10.20, 86.50
73.40, 0.89, 18.10, 47.20, 110.50, 0.66, 10.50, 89.50
75.60, 0.91, 18.80, 49.00, 113.50, 0.68, 10.80, 92.50
77.80, 0.93, 19.50, 50.70, 116.50, 0.70, 11.10, 95.50
80.00, 0.95, 20.20, 52.40, 119.50, 0.72, 11.40, 98.50
82.20, 0.97, 20.90, 54.10, 122.50, 0.74, 11.70, 101.50
84.40, 0.99, 21.60, 55.80, 125.50, 0.75, 12.00, 104.50
74.2, 0.65, 8.9, 72.3, 70.8, 73.8, 0.67, 8.7, 71.8, 71.2
78.5, 0.71, 7.5, 65.2, 68.4, 77.9, 0.68, 7.8, 66.5, 69.2
